Date,Close,Open,High,Low,Volume
09/06/23,0.89,0.87,0.89,0.87,63950000
08/06/23,0.88,0.88,0.88,0.87,59080000
07/06/23,0.87,0.88,0.89,0.86,71170000
06/06/23,0.88,0.87,0.89,0.85,43480000
05/06/23,0.89,0.89,0.90,0.88,61540000
02/06/23,0.89,0.87,0.90,0.87,38200000
01/06/23,0.86,0.84,0.87,0.83,66960000
31/05/23,0.82,0.83,0.84,0.82,24910000
30/05/23,0.85,0.87,0.87,0.84,23360000
26/05/23,0.87,0.86,0.88,0.86,16110000
25/05/23,0.86,0.86,0.87,0.86,16570000
24/05/23,0.87,0.88,0.88,0.86,14050000
23/05/23,0.88,0.88,0.89,0.88,12130000
22/05/23,0.89,0.89,0.89,0.88,12660000
19/05/23,0.89,0.89,0.89,0.88,13260000
18/05/23,0.87,0.86,0.87,0.86,9840000
17/05/23,0.86,0.84,0.86,0.84,15390000
16/05/23,0.84,0.85,0.85,0.84,13960000
15/05/23,0.86,0.84,0.86,0.84,15330000
12/05/23,0.84,0.85,0.85,0.84,11540000
11/05/23,0.85,0.85,0.85,0.84,9930000
10/05/23,0.85,0.86,0.87,0.85,13890000
09/05/23,0.87,0.86,0.87,0.86,13740000
08/05/23,0.87,0.87,0.87,0.86,13880000
05/05/23,0.87,0.84,0.87,0.84,18940000
04/05/23,0.83,0.84,0.85,0.83,28260000
03/05/23,0.86,0.85,0.87,0.85,37200000
02/05/23,0.86,0.87,0.88,0.85,37260000
01/05/23,0.87,0.87,0.90,0.87,25510000
28/04/23,0.89,0.88,0.90,0.88,33770000
27/04/23,0.89,0.88,0.90,0.88,20140000
26/04/23,0.87,0.88,0.89,0.87,24790000
25/04/23,0.86,0.90,0.90,0.86,38060000
24/04/23,0.91,0.90,0.91,0.90,26080000
21/04/23,0.89,0.87,0.89,0.87,23500000
20/04/23,0.89,0.89,0.90,0.89,16360000
19/04/23,0.92,0.90,0.92,0.90,12760000
18/04/23,0.92,0.92,0.93,0.92,19390000
17/04/23,0.92,0.92,0.94,0.90,43470000
14/04/23,0.96,0.96,0.98,0.96,24390000
13/04/23,0.95,0.93,0.95,0.93,31870000
12/04/23,0.92,0.92,0.93,0.92,22640000
11/04/23,0.90,0.89,0.91,0.88,22690000
10/04/23,0.87,0.88,0.88,0.86,7190000
06/04/23,0.88,0.89,0.90,0.88,9500000
05/04/23,0.87,0.89,0.89,0.87,15100000
