Date,Close,Open,High,Low,Volume
29/12/23,0.06,0.04,0.06,0.04,3220000
28/12/23,0.04,0.03,0.04,0.03,2130000
27/12/23,0.04,0.03,0.04,0.03,1510000
26/12/23,0.04,0.03,0.05,0.03,1250000
22/12/23,0.04,0.05,0.05,0.04,981920
21/12/23,0.06,0.05,0.08,0.05,1950000
20/12/23,0.04,0.03,0.05,0.03,1240000
19/12/23,0.04,0.01,0.04,0.01,1290000
18/12/23,0.05,0.01,0.06,0.01,843340
15/12/23,0.04,0.02,0.07,0.02,3220000
14/12/23,0.06,0.01,0.09,0.01,2600000
13/12/23,0.05,0.02,0.05,0.01,2300000
12/12/23,0.01,0.02,0.02,0.01,3310000
11/12/23,0.02,0.01,0.02,0.01,1170000
08/12/23,0.02,0.01,0.02,0.01,700350
07/12/23,0.02,0.01,0.02,0.01,279300
06/12/23,0.02,0.01,0.02,0.01,517400
05/12/23,0.02,0.01,0.02,0.01,1180000
04/12/23,0.01,0.01,0.01,0.01,0
01/12/23,0.02,0.01,0.02,0.01,444260
30/11/23,0.02,0.01,0.02,0.01,613940
29/11/23,0.02,0.01,0.02,0.01,622840
28/11/23,0.02,0.01,0.02,0.01,174070
27/11/23,0.02,0.01,0.04,0.01,527720
24/11/23,0.01,0.02,0.04,0.01,196780
22/11/23,0.03,0.01,0.05,0.01,1480000
21/11/23,0.01,0.09,0.09,0.01,550610
20/11/23,0.02,0.01,0.02,0.01,485890
17/11/23,0.02,0.01,0.02,0.01,595710
16/11/23,0.01,0.01,0.01,0.01,0
15/11/23,0.02,0.01,0.03,0.01,1230000
14/11/23,0.02,0.01,0.03,0.01,754390
13/11/23,0.03,0.02,0.04,0.02,592660
10/11/23,0.03,0.02,0.04,0.01,304580
09/11/23,0.02,0.01,0.04,0.01,558510
08/11/23,0.03,0.01,0.04,0.01,415060
07/11/23,0.01,0.02,0.03,0.01,304200
06/11/23,0.03,0.01,0.04,0.01,322070
03/11/23,0.03,0.01,0.04,0.01,629650
02/11/23,0.03,0.02,0.04,0.02,487610
01/11/23,0.03,0.02,0.03,0.02,320360
31/10/23,0.02,0.03,0.04,0.02,611730
30/10/23,0.04,0.03,0.06,0.01,241470
27/10/23,0.04,0.03,0.05,0.03,423470
26/10/23,0.04,0.03,0.05,0.03,161900
25/10/23,0.05,0.03,0.06,0.03,110590
24/10/23,0.05,0.04,0.06,0.03,221270
23/10/23,0.05,0.03,0.06,0.03,916300
20/10/23,0.04,0.03,0.06,0.03,175680
19/10/23,0.06,0.04,0.07,0.04,650610
18/10/23,0.07,0.04,0.07,0.04,251950
17/10/23,0.05,0.04,0.07,0.04,265710
16/10/23,0.05,0.03,0.06,0.03,151960
13/10/23,0.05,0.06,0.08,0.05,612630
12/10/23,0.06,0.05,0.10,0.05,536800
11/10/23,0.06,0.05,0.09,0.05,246290
10/10/23,0.08,0.03,0.09,0.03,601410
09/10/23,0.09,0.04,0.09,0.04,892160
06/10/23,0.05,0.04,0.08,0.04,392880
05/10/23,0.05,0.06,0.09,0.05,224830
04/10/23,0.09,0.06,0.09,0.06,573600
03/10/23,0.08,0.06,0.09,0.06,297430
02/10/23,0.09,0.07,0.09,0.07,381180
29/09/23,0.07,0.08,0.10,0.07,264160
28/09/23,0.08,0.07,0.10,0.07,655020
27/09/23,0.09,0.07,0.11,0.07,596200
26/09/23,0.10,0.08,0.10,0.08,369080
25/09/23,0.10,0.07,0.10,0.07,373040
22/09/23,0.10,0.09,0.10,0.08,541700
21/09/23,0.09,0.12,0.12,0.09,361650
20/09/23,0.09,0.10,0.12,0.09,255470
19/09/23,0.11,0.10,0.12,0.09,243270
18/09/23,0.12,0.10,0.12,0.10,646760
15/09/23,0.10,0.07,0.13,0.07,503610
14/09/23,0.11,0.12,0.13,0.11,376990
13/09/23,0.13,0.07,0.14,0.07,228220
12/09/23,0.13,0.07,0.14,0.07,368270
11/09/23,0.13,0.08,0.14,0.08,401440
08/09/23,0.13,0.09,0.14,0.09,375010
07/09/23,0.12,0.06,0.13,0.06,267050
06/09/23,0.13,0.06,0.14,0.06,465410
05/09/23,0.14,0.13,0.15,0.11,560350
01/09/23,0.12,0.13,0.14,0.12,324800
31/08/23,0.13,0.06,0.14,0.06,496040
30/08/23,0.13,0.06,0.14,0.06,349590
29/08/23,0.14,0.13,0.15,0.13,818660
28/08/23,0.15,0.13,0.16,0.13,600530
25/08/23,0.15,0.06,0.18,0.06,415260
24/08/23,0.15,0.06,0.18,0.06,435330
23/08/23,0.15,0.06,0.18,0.06,1050000
22/08/23,0.19,0.18,0.20,0.18,521350
21/08/23,0.18,0.16,0.21,0.16,1410000
18/08/23,0.20,0.23,0.25,0.20,1050000
17/08/23,0.26,0.25,0.31,0.25,641000
16/08/23,0.31,0.29,0.32,0.29,689230
15/08/23,0.31,0.30,0.32,0.29,564480
14/08/23,0.32,0.04,0.32,0.04,811010
11/08/23,0.31,0.29,0.33,0.29,420270
10/08/23,0.31,0.30,0.32,0.29,464490
09/08/23,0.31,0.25,0.33,0.25,714000
08/08/23,0.32,0.26,0.32,0.26,619200
07/08/23,0.32,0.31,0.33,0.26,1870000
04/08/23,0.33,0.31,0.33,0.31,471290
03/08/23,0.33,0.31,0.34,0.30,1140000
02/08/23,0.31,0.30,0.33,0.30,747190
01/08/23,0.34,0.32,0.35,0.31,514060
31/07/23,0.32,0.38,0.38,0.31,626150
28/07/23,0.34,0.31,0.36,0.31,755470
27/07/23,0.32,0.33,0.37,0.31,526430
26/07/23,0.35,0.30,0.37,0.30,497650
25/07/23,0.35,0.30,0.38,0.28,899530
24/07/23,0.31,0.27,0.34,0.27,985690
21/07/23,0.31,0.32,0.36,0.26,1300000
20/07/23,0.36,0.33,0.40,0.33,478270
19/07/23,0.36,0.30,0.38,0.30,1290000
18/07/23,0.34,0.43,0.47,0.29,4650000
17/07/23,0.51,0.55,0.60,0.48,2580000
14/07/23,0.62,0.67,0.76,0.57,14280000
13/07/23,0.73,0.72,0.76,0.71,3710000
12/07/23,0.75,0.77,0.81,0.74,5390000
11/07/23,0.75,0.65,0.75,0.65,6430000
10/07/23,0.67,0.75,0.75,0.64,6330000
07/07/23,0.75,0.77,0.79,0.72,8300000
06/07/23,0.73,0.65,0.75,0.65,9080000
05/07/23,0.64,0.59,0.68,0.59,6820000
03/07/23,0.58,0.55,0.62,0.52,7270000
30/06/23,0.55,0.67,0.67,0.52,19900000
29/06/23,0.73,0.78,0.95,0.73,30710000
28/06/23,0.75,0.44,0.75,0.43,28790000
27/06/23,0.42,0.36,0.45,0.36,15090000
26/06/23,0.36,0.29,0.36,0.29,7390000
23/06/23,0.28,0.25,0.29,0.25,3100000
22/06/23,0.26,0.27,0.28,0.25,3490000
21/06/23,0.28,0.27,0.30,0.25,2930000
20/06/23,0.26,0.29,0.34,0.25,13490000
16/06/23,0.28,0.20,0.30,0.20,20080000
15/06/23,0.19,0.17,0.20,0.17,5820000
14/06/23,0.16,0.17,0.18,0.16,1870000
13/06/23,0.18,0.17,0.18,0.17,3250000
12/06/23,0.18,0.17,0.18,0.17,1300000
09/06/23,0.17,0.18,0.19,0.16,4510000
08/06/23,0.17,0.18,0.18,0.17,2280000
07/06/23,0.17,0.18,0.20,0.17,8020000
06/06/23,0.18,0.21,0.21,0.17,13210000
05/06/23,0.21,0.22,0.26,0.21,4280000
02/06/23,0.24,0.25,0.25,0.21,9000000
01/06/23,0.25,0.26,0.26,0.25,3880000
31/05/23,0.27,0.28,0.28,0.27,2610000
30/05/23,0.28,0.30,0.30,0.28,3120000
26/05/23,0.30,0.29,0.32,0.29,4510000
25/05/23,0.28,0.31,0.31,0.26,10810000
24/05/23,0.31,0.33,0.34,0.30,5490000
23/05/23,0.34,0.36,0.36,0.34,7000000
22/05/23,0.36,0.40,0.40,0.36,7810000
19/05/23,0.40,0.38,0.40,0.38,7090000
18/05/23,0.39,0.38,0.39,0.37,5760000
17/05/23,0.39,0.38,0.39,0.37,4560000
16/05/23,0.39,0.38,0.40,0.38,6210000
15/05/23,0.37,0.38,0.38,0.35,8820000
12/05/23,0.39,0.42,0.45,0.39,7300000
11/05/23,0.42,0.45,0.45,0.40,10290000
10/05/23,0.47,0.44,0.47,0.37,18720000
09/05/23,0.43,0.39,0.46,0.38,23540000
08/05/23,0.39,0.35,0.39,0.32,21670000
05/05/23,0.35,0.28,0.35,0.28,37740000
04/05/23,0.32,0.33,0.34,0.27,52770000
03/05/23,0.33,0.40,0.49,0.29,220560000
28/04/23,3.51,6.59,6.60,2.98,176850000
27/04/23,6.19,5.65,6.83,5.53,83280000
26/04/23,5.69,7.12,7.16,4.76,190390000
25/04/23,8.10,12.21,12.25,7.92,193020000
24/04/23,16.00,14.27,16.36,14.20,90170000
21/04/23,14.26,13.90,14.46,13.64,23720000
20/04/23,13.88,13.80,14.12,13.52,18280000
19/04/23,14.14,12.90,14.53,12.71,45170000
18/04/23,12.58,13.02,13.07,12.56,18870000
17/04/23,13.14,13.00,13.28,12.67,17670000
14/04/23,13.12,13.93,13.93,13.04,23480000
13/04/23,13.61,13.91,13.94,13.23,23480000
