Date,Close,Open,High,Low,Volume
29/12/23,1.60,2.00,2.00,1.50,4370000
28/12/23,1.85,0.95,1.85,0.95,2400000
27/12/23,1.10,0.94,1.14,0.94,1270000
26/12/23,0.99,0.80,1.04,0.80,1560000
22/12/23,0.85,0.11,0.99,0.11,3510000
21/12/23,0.75,0.60,0.95,0.50,5270000
20/12/23,0.51,0.25,0.52,0.25,3490000
19/12/23,0.27,0.01,0.28,0.01,1990000
18/12/23,0.17,0.10,0.18,0.10,191460
15/12/23,0.20,0.06,0.24,0.05,2470000
14/12/23,0.08,0.03,0.14,0.03,1190000
13/12/23,0.06,0.01,0.10,0.01,195220
12/12/23,0.03,0.01,0.08,0.01,35830
11/12/23,0.07,0.01,0.07,0.01,54400
08/12/23,0.08,0.03,0.08,0.01,45480
07/12/23,0.08,0.01,0.08,0.01,157640
06/12/23,0.04,0.03,0.08,0.02,298060
05/12/23,0.03,0.08,0.08,0.02,104440
04/12/23,0.08,0.01,0.08,0.01,67960
01/12/23,0.06,0.02,0.10,0.02,351340
30/11/23,0.05,0.01,0.10,0.01,577370
29/11/23,0.02,0.01,0.02,0.01,124540
28/11/23,0.02,0.01,0.02,0.01,103290
27/11/23,0.02,0.01,0.02,0.01,46060
24/11/23,0.01,0.01,0.01,0.01,0
22/11/23,0.02,0.01,0.02,0.01,34420
21/11/23,0.02,0.01,0.02,0.01,34380
20/11/23,0.02,0.01,0.02,0.01,48790
17/11/23,0.01,0.02,0.02,0.01,42410
16/11/23,0.01,0.02,0.02,0.01,62580
15/11/23,0.02,0.01,0.02,0.01,17220
14/11/23,0.02,0.01,0.02,0.01,5710
13/11/23,0.01,0.02,0.02,0.01,20760
10/11/23,0.02,0.01,0.02,0.01,96160
09/11/23,0.01,0.01,0.01,0.01,0
08/11/23,0.02,0.01,0.02,0.01,12040
07/11/23,0.02,0.01,0.02,0.01,307250
06/11/23,0.02,0.01,0.02,0.01,72880
03/11/23,0.01,0.01,0.01,0.01,0
02/11/23,0.02,0.01,0.02,0.01,52950
01/11/23,0.01,0.01,0.01,0.01,0
31/10/23,0.01,0.01,0.01,0.01,0
30/10/23,0.01,0.01,0.01,0.01,0
27/10/23,0.01,0.01,0.01,0.01,0
26/10/23,0.01,0.01,0.01,0.01,0
25/10/23,0.03,0.02,0.03,0.02,8810
23/10/23,0.01,0.01,0.01,0.01,0
20/10/23,0.01,0.01,0.01,0.01,0
19/10/23,0.01,0.01,0.01,0.01,0
18/10/23,0.01,0.01,0.01,0.01,0
17/10/23,0.01,0.01,0.01,0.01,0
16/10/23,0.01,0.01,0.01,0.01,0
13/10/23,0.01,0.01,0.01,0.01,0
12/10/23,0.01,0.01,0.01,0.01,0
11/10/23,0.02,0.01,0.02,0.01,3390
10/10/23,0.02,0.01,0.02,0.01,375020
09/10/23,0.02,0.01,0.02,0.01,10830
06/10/23,0.02,0.01,0.02,0.01,19610
05/10/23,0.02,0.01,0.02,0.01,41640
04/10/23,0.02,0.01,0.02,0.01,8770
03/10/23,0.02,0.01,0.02,0.01,38590
02/10/23,0.02,0.01,0.02,0.01,4340
29/09/23,0.02,0.01,0.03,0.01,47380
28/09/23,0.03,0.01,0.03,0.01,15620
27/09/23,0.01,0.03,0.03,0.01,9590
26/09/23,0.04,0.01,0.04,0.01,312500
25/09/23,0.02,0.04,0.04,0.01,324750
22/09/23,0.01,0.02,0.04,0.01,132510
21/09/23,0.04,0.02,0.04,0.02,381420
20/09/23,0.04,0.03,0.05,0.02,288210
19/09/23,0.04,0.05,0.05,0.03,2280
18/09/23,0.04,0.03,0.04,0.03,35420
15/09/23,0.05,0.03,0.05,0.03,11040
14/09/23,0.04,0.03,0.05,0.03,63300
13/09/23,0.03,0.04,0.05,0.03,371890
12/09/23,0.05,0.02,0.05,0.02,47700
11/09/23,0.05,0.04,0.05,0.03,52640
08/09/23,0.05,0.02,0.05,0.02,20170
07/09/23,0.03,0.02,0.05,0.02,10800
06/09/23,0.05,0.04,0.05,0.02,22000
05/09/23,0.05,0.04,0.05,0.02,26070
01/09/23,0.06,0.02,0.06,0.02,14870
31/08/23,0.06,0.05,0.06,0.02,132750
30/08/23,0.03,0.06,0.06,0.02,7690
29/08/23,0.06,0.03,0.08,0.02,53000
28/08/23,0.03,0.04,0.04,0.02,120260
25/08/23,0.04,0.03,0.09,0.03,5710
24/08/23,0.04,0.03,0.04,0.03,1150
23/08/23,0.03,0.03,0.03,0.03,0
22/08/23,0.03,0.03,0.03,0.03,0
21/08/23,0.04,0.03,0.04,0.03,9660
18/08/23,0.03,0.04,0.04,0.03,27270
17/08/23,0.04,0.03,0.04,0.03,11250
16/08/23,0.04,0.03,0.04,0.03,9240
15/08/23,0.11,0.03,0.11,0.03,101190
14/08/23,0.04,0.02,0.04,0.02,8950
11/08/23,0.04,0.03,0.04,0.02,69770
10/08/23,0.02,0.04,0.04,0.02,42030
09/08/23,0.02,0.04,0.04,0.02,35450
08/08/23,0.04,0.03,0.04,0.03,77880
07/08/23,0.02,0.03,0.03,0.02,31780
04/08/23,0.06,0.04,0.06,0.03,120440
03/08/23,0.05,0.04,0.06,0.04,85860
02/08/23,0.04,0.05,0.05,0.04,77870
01/08/23,0.04,0.03,0.10,0.03,362450
31/07/23,0.05,0.01,0.12,0.01,366830
28/07/23,0.10,0.09,0.10,0.09,137650
27/07/23,0.10,0.09,0.12,0.09,189400
26/07/23,0.09,0.11,0.12,0.09,259920
25/07/23,0.13,0.10,0.14,0.10,97720
24/07/23,0.10,0.11,0.13,0.10,157660
21/07/23,0.12,0.11,0.12,0.10,146770
20/07/23,0.11,0.13,0.14,0.10,312560
19/07/23,0.11,0.12,0.14,0.10,345730
18/07/23,0.14,0.11,0.14,0.10,920750
17/07/23,0.14,0.16,0.16,0.11,982280
14/07/23,0.16,0.19,0.20,0.15,3010000
13/07/23,0.19,0.20,0.20,0.18,1590000
12/07/23,0.21,0.20,0.22,0.20,531250
11/07/23,0.20,0.22,0.22,0.19,1150000
10/07/23,0.22,0.21,0.22,0.20,372100
07/07/23,0.20,0.21,0.21,0.20,545400
06/07/23,0.21,0.20,0.21,0.19,969650
05/07/23,0.19,0.20,0.21,0.19,1860000
03/07/23,0.20,0.21,0.22,0.20,664110
30/06/23,0.21,0.25,0.25,0.19,3600000
29/06/23,0.24,0.22,0.29,0.22,9690000
28/06/23,0.22,0.13,0.22,0.13,6070000
27/06/23,0.13,0.14,0.14,0.13,706010
26/06/23,0.14,0.14,0.14,0.14,0
23/06/23,0.14,0.13,0.14,0.13,229730
22/06/23,0.13,0.14,0.14,0.13,1070000
21/06/23,0.14,0.14,0.14,0.14,0
20/06/23,0.13,0.14,0.15,0.13,1260000
16/06/23,0.13,0.14,0.15,0.13,1470000
15/06/23,0.13,0.12,0.14,0.12,1650000
14/06/23,0.12,0.13,0.13,0.12,530500
13/06/23,0.13,0.12,0.13,0.12,1090000
12/06/23,0.12,0.13,0.13,0.12,380720
09/06/23,0.13,0.12,0.13,0.12,936710
08/06/23,0.12,0.11,0.13,0.11,920690
07/06/23,0.12,0.11,0.12,0.11,452380
06/06/23,0.12,0.11,0.12,0.10,508450
05/06/23,0.12,0.11,0.12,0.11,637600
02/06/23,0.11,0.13,0.13,0.10,2250000
01/06/23,0.12,0.13,0.13,0.12,913770
31/05/23,0.13,0.12,0.13,0.12,880290
30/05/23,0.13,0.14,0.14,0.12,1220000
26/05/23,0.14,0.13,0.14,0.13,886040
25/05/23,0.13,0.12,0.13,0.12,571540
24/05/23,0.12,0.13,0.13,0.12,1120000
23/05/23,0.13,0.12,0.13,0.12,1470000
22/05/23,0.12,0.13,0.14,0.11,1610000
19/05/23,0.14,0.15,0.15,0.13,1870000
18/05/23,0.15,0.14,0.16,0.13,3290000
17/05/23,0.13,0.12,0.14,0.12,2610000
16/05/23,0.12,0.11,0.13,0.11,1420000
15/05/23,0.11,0.12,0.13,0.11,975200
12/05/23,0.11,0.12,0.13,0.11,2160000
11/05/23,0.12,0.13,0.13,0.11,1570000
10/05/23,0.12,0.13,0.14,0.12,3620000
09/05/23,0.12,0.10,0.13,0.09,5180000
08/05/23,0.10,0.09,0.10,0.09,2400000
05/05/23,0.09,0.08,0.10,0.08,2870000
04/05/23,0.08,0.09,0.10,0.07,3800000
03/05/23,0.09,0.07,0.09,0.07,3890000
02/05/23,0.06,0.07,0.07,0.06,4760000
01/05/23,0.08,0.09,0.09,0.07,6230000
28/04/23,0.10,0.13,0.13,0.09,4870000
27/04/23,0.12,0.13,0.14,0.12,3320000
26/04/23,0.12,0.13,0.13,0.12,3730000
25/04/23,0.13,0.16,0.16,0.13,5660000
24/04/23,0.15,0.16,0.18,0.15,2630000
21/04/23,0.16,0.17,0.17,0.15,2780000
20/04/23,0.16,0.18,0.18,0.16,5870000
19/04/23,0.19,0.15,0.19,0.14,13150000
18/04/23,0.15,0.16,0.17,0.15,1640000
17/04/23,0.16,0.17,0.17,0.15,4040000
14/04/23,0.17,0.16,0.18,0.16,7100000
13/04/23,0.16,0.15,0.16,0.15,4690000
12/04/23,0.15,0.14,0.15,0.14,5730000
11/04/23,0.14,0.17,0.17,0.14,3600000
10/04/23,0.15,0.17,0.17,0.14,7440000
06/04/23,0.17,0.16,0.18,0.15,6550000
05/04/23,0.15,0.17,0.17,0.15,4740000
04/04/23,0.17,0.18,0.96,0.15,12150000
03/04/23,0.17,0.20,0.22,0.16,15810000
31/03/23,0.18,0.20,0.23,0.15,25800000
30/03/23,0.19,0.30,0.32,0.17,51270000
29/03/23,0.24,0.12,0.28,0.12,76710000
28/03/23,0.13,0.17,0.22,0.09,83370000
10/03/23,70.00,75.03,90.67,61.37,21710000
09/03/23,90.76,95.90,100.30,90.33,8560000
08/03/23,103.35,104.65,105.47,101.83,2190000
07/03/23,104.89,109.83,111.24,104.76,1650000
06/03/23,110.89,111.65,114.53,110.68,1590000
03/03/23,113.70,110.50,114.35,109.38,1490000
02/03/23,109.56,106.48,109.62,104.63,2580000
01/03/23,112.61,113.89,114.56,110.96,897360
28/02/23,115.05,113.90,116.75,112.00,975990
27/02/23,113.81,117.04,117.10,113.32,656390
24/02/23,114.21,113.57,115.25,112.79,686980
23/02/23,116.28,119.00,119.26,113.39,710670
22/02/23,116.98,117.21,119.32,114.97,799380
21/02/23,116.78,123.03,123.24,116.36,898150
17/02/23,124.31,125.97,126.59,122.53,797200
16/02/23,127.02,131.15,132.66,127.01,930770
15/02/23,134.78,129.23,134.85,127.90,817840
14/02/23,130.15,130.12,133.80,127.40,615480
13/02/23,130.67,128.40,131.45,127.03,701260
10/02/23,129.93,131.59,133.76,128.48,1060000
09/02/23,134.25,137.57,137.88,132.82,1320000
08/02/23,135.80,137.02,139.14,135.04,990890
07/02/23,138.74,133.78,139.21,132.18,1280000
06/02/23,134.85,136.40,137.86,133.94,1060000
03/02/23,138.93,135.71,142.99,134.30,1330000
02/02/23,143.17,139.75,149.72,139.65,2140000
01/02/23,135.50,128.17,138.01,126.43,1900000
31/01/23,128.95,122.84,128.96,122.74,1220000
30/01/23,122.44,125.33,126.35,122.24,994470
27/01/23,127.39,124.99,127.60,124.06,1250000
26/01/23,125.46,127.44,127.54,123.58,948280
25/01/23,125.95,124.94,126.42,119.92,2030000
24/01/23,127.43,128.49,129.11,125.32,825870
23/01/23,129.11,130.18,131.05,127.34,1850000
20/01/23,127.79,120.89,128.68,120.06,1690000
19/01/23,118.91,116.86,119.75,114.22,1260000
18/01/23,118.36,119.15,127.91,117.65,1970000
17/01/23,121.18,126.05,131.85,117.52,3000000
13/01/23,118.37,113.49,119.05,112.04,1480000
12/01/23,117.04,118.38,119.00,114.00,1070000
11/01/23,117.72,115.00,117.89,113.27,1080000
10/01/23,114.51,113.66,116.33,110.23,1540000
09/01/23,115.79,115.31,119.18,114.48,1210000
06/01/23,116.30,109.49,116.93,106.81,1650000
05/01/23,110.84,110.32,115.65,109.44,2040000
04/01/23,117.94,115.80,119.45,114.25,1070000
03/01/23,113.17,117.14,118.21,112.56,1120000
30/12/22,115.22,113.98,115.89,113.34,900100
29/12/22,116.12,112.41,117.35,112.26,1070000
28/12/22,111.69,113.98,114.60,110.06,911250
27/12/22,113.98,114.79,115.40,112.99,584190
23/12/22,115.00,115.51,115.75,112.99,357180
22/12/22,115.61,113.73,115.72,111.02,825520
21/12/22,115.24,115.56,117.00,113.47,804580
20/12/22,113.92,114.21,116.21,113.37,598360
19/12/22,114.00,114.09,115.01,112.24,821170
16/12/22,113.87,114.79,117.01,113.25,2780000
15/12/22,115.41,114.07,117.15,113.76,996750
14/12/22,116.65,119.56,122.22,114.79,1290000
13/12/22,120.00,126.51,128.39,119.01,1480000
12/12/22,122.73,119.28,123.33,116.46,1200000
09/12/22,118.56,118.32,121.00,117.23,879630
08/12/22,119.30,117.93,120.72,115.84,1410000
07/12/22,116.99,114.97,118.87,113.45,2050000
06/12/22,118.86,125.70,125.79,118.50,2420000
05/12/22,125.88,134.00,134.88,124.38,1400000
02/12/22,136.00,135.88,137.35,134.91,612170
01/12/22,138.04,139.90,141.74,137.06,813460
30/11/22,139.50,135.69,139.85,131.81,1140000
29/11/22,135.58,135.23,137.65,134.19,792310
28/11/22,134.27,137.82,140.85,133.47,1050000
25/11/22,140.24,139.00,140.59,138.53,291630
23/11/22,139.51,136.32,140.40,135.33,757220
22/11/22,136.19,133.00,136.34,131.43,1120000
21/11/22,132.00,131.62,132.95,130.28,926630
18/11/22,132.03,135.30,135.88,130.34,1260000
17/11/22,132.01,135.11,135.50,130.12,1020000
16/11/22,138.01,144.90,145.78,137.10,1180000
15/11/22,147.94,143.58,157.41,143.32,1940000
14/11/22,138.77,143.53,145.03,138.69,1240000
11/11/22,143.98,137.50,145.46,137.00,1580000
10/11/22,140.94,139.31,144.79,137.97,2650000
09/11/22,132.02,138.00,138.07,129.96,1830000
08/11/22,142.14,147.53,149.52,136.88,2370000
07/11/22,148.38,148.90,150.10,145.66,508980
04/11/22,148.53,148.72,149.65,145.15,581550
