Date,Close,Open,High,Low,Volume
29/12/23,0.03,0.02,0.04,0.02,140370
28/12/23,0.04,0.00,0.04,0.00,212870
27/12/23,0.03,0.04,0.05,0.03,92450
26/12/23,0.04,0.00,0.07,0.00,78370
22/12/23,0.04,0.00,0.10,0.00,157660
21/12/23,0.04,0.00,0.08,0.00,86270
20/12/23,0.04,0.00,0.07,0.00,400040
19/12/23,0.02,0.00,0.03,0.00,96130
18/12/23,0.02,0.02,0.03,0.02,75910
15/12/23,0.05,0.02,0.05,0.02,92500
14/12/23,0.02,0.00,0.05,0.00,88260
13/12/23,0.03,0.02,0.03,0.02,41350
12/12/23,0.02,0.00,0.03,0.00,44090
11/12/23,0.02,0.00,0.03,0.00,36250
08/12/23,0.02,0.00,0.03,0.00,26880
07/12/23,0.02,0.00,0.10,0.00,112430
06/12/23,0.03,0.00,0.05,0.00,39580
05/12/23,0.03,0.10,0.10,0.01,112620
04/12/23,0.01,0.04,0.05,0.01,361190
01/12/23,0.02,0.01,0.02,0.01,29320
30/11/23,0.02,0.00,0.02,0.00,28830
29/11/23,0.02,0.01,0.03,0.01,85230
28/11/23,0.01,0.00,0.02,0.00,33440
27/11/23,0.01,0.02,0.03,0.01,75650
24/11/23,0.01,0.02,0.02,0.01,13190
22/11/23,0.01,0.04,0.04,0.01,17510
21/11/23,0.02,0.04,0.04,0.01,28310
20/11/23,0.01,0.04,0.04,0.01,38170
17/11/23,0.02,0.01,0.03,0.01,27480
16/11/23,0.03,0.01,0.04,0.01,63960
15/11/23,0.01,0.00,0.04,0.00,166900
14/11/23,0.02,0.00,0.08,0.00,129640
13/11/23,0.01,0.03,0.03,0.01,14230
10/11/23,0.03,0.02,0.07,0.02,23840
09/11/23,0.08,0.00,0.10,0.00,48750
08/11/23,0.02,0.00,0.04,0.00,30640
07/11/23,0.01,0.05,0.05,0.01,21000
06/11/23,0.02,0.00,0.02,0.00,58030
03/11/23,0.02,0.02,0.06,0.02,75880
02/11/23,0.02,0.00,0.05,0.00,29220
01/11/23,0.04,0.02,0.06,0.02,31010
31/10/23,0.05,0.00,0.07,0.00,31770
30/10/23,0.06,0.00,0.07,0.00,38660
27/10/23,0.04,0.00,0.10,0.00,20600
26/10/23,0.04,0.10,0.10,0.04,12030
25/10/23,0.08,0.00,0.10,0.00,13780
24/10/23,0.04,0.00,0.08,0.00,23570
23/10/23,0.04,0.09,0.09,0.04,12570
20/10/23,0.10,0.00,0.10,0.00,62630
19/10/23,0.11,0.05,0.11,0.05,68130
18/10/23,0.09,0.04,0.10,0.04,31630
17/10/23,0.09,0.04,0.10,0.04,32470
16/10/23,0.09,0.04,0.11,0.04,34740
13/10/23,0.09,0.04,0.10,0.04,76900
12/10/23,0.09,0.09,0.09,0.09,
11/10/23,0.09,0.09,0.09,0.09,
10/10/23,0.09,0.09,0.09,0.09,
09/10/23,0.09,0.05,0.11,0.05,
06/10/23,0.10,0.09,0.10,0.09,
05/10/23,0.09,0.05,0.10,0.05,
04/10/23,0.09,0.05,0.10,0.05,
03/10/23,0.09,0.05,0.11,0.05,
02/10/23,0.09,0.05,0.09,0.05,
29/09/23,0.10,0.09,0.10,0.09,
28/09/23,0.09,0.05,0.10,0.05,
27/09/23,0.09,0.05,0.11,0.05,
26/09/23,0.10,0.09,0.10,0.09,
25/09/23,0.09,0.05,0.11,0.04,
22/09/23,0.10,0.05,0.10,0.05,
21/09/23,0.12,0.09,0.12,0.09,
20/09/23,0.09,0.05,0.10,0.05,
19/09/23,0.15,0.05,0.15,0.05,
18/09/23,0.05,0.05,0.05,0.05,
15/09/23,0.05,0.04,0.05,0.04,
14/09/23,0.05,0.05,0.06,0.05,
13/09/23,0.05,0.06,0.06,0.04,
12/09/23,0.05,0.04,0.10,0.04,
11/09/23,0.04,0.05,0.10,0.04,
08/09/23,0.06,0.04,0.18,0.04,
07/09/23,0.07,0.04,0.07,0.04,
06/09/23,0.06,0.07,0.08,0.04,
