Date,Close,Open,High,Low,Volume
29/12/23,33.67,33.94,33.99,33.55,28060000
28/12/23,33.88,33.82,33.97,33.77,21800000
27/12/23,33.84,33.80,33.95,33.66,24500000
26/12/23,33.86,33.45,33.96,33.37,24850000
22/12/23,33.43,33.21,33.67,33.20,37270000
21/12/23,33.20,33.24,33.45,32.89,32330000
20/12/23,32.98,33.38,33.71,32.95,44710000
19/12/23,33.51,33.03,33.67,32.80,44530000
18/12/23,33.43,33.71,33.79,33.40,40690000
15/12/23,33.60,33.82,34.02,33.29,83770000
14/12/23,33.94,32.62,34.07,32.57,107190000
13/12/23,32.04,30.75,32.13,30.63,60310000
12/12/23,30.74,30.77,30.86,30.45,34570000
11/12/23,30.85,30.92,31.08,30.71,32250000
08/12/23,30.96,30.67,31.14,30.61,34790000
07/12/23,30.66,30.59,30.93,30.54,32700000
06/12/23,30.53,30.78,31.51,30.44,49800000
05/12/23,30.58,30.68,30.79,30.33,45720000
04/12/23,30.82,30.53,31.00,30.52,37810000
01/12/23,30.96,30.40,31.05,30.35,46130000
30/11/23,30.49,30.21,30.55,30.04,52550000
29/11/23,30.31,29.88,30.60,29.81,57950000
28/11/23,29.53,29.53,29.65,29.32,29710000
27/11/23,29.56,29.60,29.69,29.51,42040000
24/11/23,29.73,29.48,29.89,29.48,15820000
22/11/23,29.63,29.74,29.79,29.52,41430000
21/11/23,29.66,29.99,29.99,29.55,41610000
20/11/23,30.01,29.98,30.25,29.75,47050000
17/11/23,29.98,29.71,30.00,29.55,38520000
16/11/23,29.54,29.43,29.70,29.22,36950000
15/11/23,29.62,29.20,29.73,29.20,46970000
14/11/23,29.22,28.50,29.41,28.47,66680000
13/11/23,27.70,27.54,27.85,27.42,28520000
10/11/23,27.68,27.76,27.77,27.34,32870000
09/11/23,27.53,28.07,28.08,27.40,32270000
08/11/23,27.89,28.16,28.20,27.67,31900000
07/11/23,28.16,28.05,28.25,27.95,33080000
06/11/23,28.33,28.56,28.77,28.02,45550000
03/11/23,28.42,28.16,28.93,28.13,62610000
02/11/23,27.62,26.71,27.66,26.59,63280000
01/11/23,26.40,26.44,26.61,26.15,44050000
31/10/23,26.34,25.74,26.38,25.72,50110000
30/10/23,25.69,25.32,25.78,25.28,41890000
27/10/23,25.17,26.07,26.07,24.96,64710000
26/10/23,26.12,25.49,26.36,25.44,60920000
25/10/23,25.55,25.38,25.65,25.18,45520000
24/10/23,25.47,25.74,25.87,25.40,55980000
23/10/23,25.57,26.13,26.21,25.52,59860000
20/10/23,26.31,26.80,26.94,26.24,62060000
19/10/23,26.96,27.25,27.78,26.88,58610000
18/10/23,27.31,27.54,28.04,27.21,68370000
17/10/23,27.62,27.05,27.87,26.72,95340000
16/10/23,26.99,27.16,27.18,26.77,56820000
13/10/23,26.76,27.43,27.72,26.52,55120000
12/10/23,26.90,26.97,27.08,26.61,44250000
11/10/23,27.02,27.17,27.43,26.90,38510000
10/10/23,27.01,26.61,27.30,26.57,51960000
09/10/23,26.31,25.76,26.36,25.72,39950000
06/10/23,26.07,25.77,26.23,25.47,58180000
05/10/23,26.06,25.78,26.09,25.56,49040000
04/10/23,25.94,25.88,26.01,25.58,55700000
03/10/23,25.91,26.49,26.52,25.82,62140000
02/10/23,26.70,27.27,27.35,26.58,50390000
29/09/23,27.38,27.89,27.99,27.27,40650000
28/09/23,27.56,27.17,27.64,27.17,36730000
27/09/23,27.27,27.23,27.61,27.07,38300000
26/09/23,27.17,27.34,27.50,27.01,42240000
25/09/23,27.60,27.50,27.62,27.35,32750000
22/09/23,27.64,28.07,28.18,27.60,41280000
21/09/23,28.05,28.36,28.58,28.02,39910000
20/09/23,28.55,28.81,28.97,28.53,26640000
19/09/23,28.65,28.76,28.94,28.51,34890000
18/09/23,28.76,28.80,28.80,28.49,25750000
