Date,Close,Open,High,Low,Volume
29/12/23,385.77,385.57,386.64,383.57,881320
28/12/23,386.41,384.52,387.76,383.63,1020000
27/12/23,384.48,381.20,385.75,380.31,1370000
26/12/23,381.61,380.65,382.61,380.05,837410
22/12/23,380.65,382.00,383.49,379.41,1540000
21/12/23,380.57,380.05,381.49,377.01,1300000
20/12/23,377.52,380.73,385.13,377.25,1840000
19/12/23,382.45,376.01,383.77,374.55,2090000
18/12/23,376.40,381.26,382.76,375.91,2740000
15/12/23,380.51,380.19,385.89,379.32,4520000
14/12/23,383.47,366.50,386.20,365.00,5380000
13/12/23,362.73,352.94,362.85,351.60,2880000
12/12/23,352.61,351.41,354.00,349.58,1600000
11/12/23,351.76,351.44,353.03,349.05,1640000
08/12/23,350.83,344.31,352.29,343.78,2240000
07/12/23,344.62,343.71,344.69,342.00,2160000
06/12/23,341.97,343.51,347.00,341.60,1870000
05/12/23,341.75,346.60,346.83,340.54,2430000
04/12/23,349.39,346.30,350.49,345.29,2180000
01/12/23,348.43,341.46,348.89,340.42,3620000
30/11/23,341.54,341.68,344.76,340.09,1900000
29/11/23,340.26,337.00,343.53,336.51,2040000
28/11/23,337.65,337.38,338.40,334.87,1420000
27/11/23,337.71,339.19,340.02,335.74,1250000
24/11/23,339.15,338.80,340.27,337.64,460100
22/11/23,338.64,336.94,338.91,335.37,1240000
21/11/23,334.97,338.36,339.09,334.55,1900000
20/11/23,339.45,340.00,341.32,337.50,3150000
17/11/23,339.19,339.50,340.45,338.12,1470000
16/11/23,336.67,337.76,339.75,335.01,1620000
15/11/23,337.60,339.90,341.08,335.34,2530000
14/11/23,338.72,333.53,341.77,332.47,3590000
13/11/23,326.91,324.16,328.72,323.53,1400000
10/11/23,325.51,323.32,326.06,321.65,1780000
09/11/23,320.78,326.00,326.65,319.66,1790000
08/11/23,324.56,323.95,326.66,323.67,1480000
07/11/23,323.95,322.13,326.39,321.29,1500000
06/11/23,323.91,326.66,328.90,322.10,2090000
03/11/23,327.62,318.46,329.33,317.93,3740000
02/11/23,313.76,309.69,314.54,308.00,2600000
01/11/23,307.16,303.33,308.25,302.84,2350000
31/10/23,303.61,301.68,304.29,300.70,2610000
30/10/23,300.83,293.45,301.81,293.29,3070000
27/10/23,289.91,297.55,298.27,289.36,2600000
26/10/23,296.99,296.96,300.14,294.78,2010000
25/10/23,296.76,298.60,300.00,295.03,1810000
24/10/23,299.18,300.00,303.10,299.08,1700000
23/10/23,299.22,298.29,303.55,298.19,2960000
20/10/23,300.05,298.50,303.25,298.10,2330000
19/10/23,299.19,301.96,305.34,298.63,3210000
18/10/23,301.96,307.00,307.22,301.48,3460000
17/10/23,309.36,313.38,316.18,305.91,4120000
16/10/23,314.39,313.18,315.90,310.25,2270000
13/10/23,309.30,312.00,316.18,308.17,1790000
12/10/23,309.85,314.15,314.25,308.02,1730000
11/10/23,313.02,315.43,316.63,311.60,1670000
10/10/23,314.77,314.47,316.85,312.29,1190000
09/10/23,312.61,308.90,313.48,308.37,1090000
06/10/23,312.48,308.11,315.32,307.17,1600000
05/10/23,310.50,307.36,310.55,304.21,1580000
04/10/23,308.60,304.85,309.06,303.48,1870000
03/10/23,306.12,315.27,315.68,304.39,3120000
02/10/23,318.50,322.03,323.58,317.10,1300000
29/09/23,323.57,327.20,327.96,322.27,1400000
28/09/23,325.20,320.21,326.84,320.21,1390000
27/09/23,321.95,324.98,325.00,318.98,1490000
26/09/23,323.82,325.61,327.43,322.42,1480000
25/09/23,328.84,327.07,329.29,325.28,833530
22/09/23,327.89,330.10,331.54,326.83,1670000
21/09/23,330.24,334.50,334.69,330.08,1690000
20/09/23,336.70,342.61,343.80,336.29,1230000
19/09/23,341.89,343.46,344.97,337.97,1660000
18/09/23,343.32,342.54,344.26,339.27,1360000
15/09/23,342.54,345.15,346.19,341.86,3060000
14/09/23,344.57,339.00,345.12,336.85,2820000
13/09/23,334.98,333.50,337.01,330.82,2160000
12/09/23,330.90,324.01,335.28,324.00,2050000
11/09/23,324.65,328.26,330.15,324.29,1280000
08/09/23,325.52,321.92,325.97,321.66,2030000
07/09/23,321.96,320.62,324.22,320.13,1470000
06/09/23,321.13,322.31,324.14,319.30,2120000
05/09/23,323.75,327.34,328.48,322.63,1850000
01/09/23,327.40,329.67,331.62,326.20,1200000
31/08/23,327.71,329.41,330.49,325.96,1270000
30/08/23,328.58,330.00,331.91,327.65,1130000
29/08/23,332.55,325.56,332.70,324.68,1830000
28/08/23,325.97,321.34,326.60,321.34,1440000
25/08/23,320.15,320.80,322.72,318.19,1160000
24/08/23,319.96,322.15,327.49,319.51,1190000
23/08/23,322.33,320.62,322.45,318.00,1430000
22/08/23,318.79,322.48,322.64,318.31,1810000
21/08/23,322.06,325.39,326.39,319.39,1980000
18/08/23,324.93,324.32,327.62,323.20,1730000
17/08/23,327.52,330.00,333.99,324.00,3140000
16/08/23,329.11,330.54,332.92,328.97,3340000
15/08/23,332.21,333.30,334.03,330.48,1660000
14/08/23,337.74,337.41,338.45,334.86,1350000
11/08/23,340.73,339.93,341.79,337.55,1260000
10/08/23,340.40,344.07,347.26,339.80,1350000
09/08/23,342.69,346.82,348.45,342.49,1330000
08/08/23,348.26,351.70,352.00,342.03,1920000
07/08/23,355.56,355.40,357.67,353.92,1260000
04/08/23,353.22,353.34,358.73,352.51,1730000
