Date,Close,Open,High,Low,Volume
29/12/23,170.10,170.00,170.69,169.63,6440000
28/12/23,170.30,169.35,170.66,168.99,6320000
27/12/23,169.40,167.84,169.47,167.58,6430000
26/12/23,168.39,167.46,168.76,167.18,4680000
22/12/23,167.40,167.50,168.23,167.23,6580000
21/12/23,167.50,166.84,168.09,165.68,7600000
20/12/23,166.55,167.99,169.41,166.45,10730000
19/12/23,168.45,166.00,168.47,165.55,10350000
18/12/23,166.23,165.92,167.13,165.63,8470000
15/12/23,165.23,163.08,165.28,162.39,20310000
14/12/23,163.99,161.83,164.84,161.71,13640000
13/12/23,161.06,160.52,162.03,159.77,12380000
12/12/23,160.52,159.23,160.65,158.88,10220000
11/12/23,159.10,158.52,159.30,158.15,8090000
08/12/23,158.52,157.26,158.78,156.98,7370000
07/12/23,156.79,156.69,157.31,156.15,8130000
06/12/23,156.31,158.84,159.22,156.00,9370000
05/12/23,157.97,157.26,158.50,156.97,9140000
04/12/23,157.99,156.02,158.05,155.88,9610000
01/12/23,156.84,155.82,157.86,155.82,8920000
30/11/23,156.08,154.91,156.13,154.38,9870000
29/11/23,154.32,154.17,155.63,154.00,9130000
28/11/23,153.54,153.22,153.87,152.72,6580000
27/11/23,153.19,153.43,153.53,152.71,6260000
24/11/23,153.54,153.59,154.44,153.27,3500000
22/11/23,153.33,153.41,153.88,152.90,5180000
21/11/23,152.97,153.20,153.63,152.57,7080000
20/11/23,153.29,152.08,153.75,151.92,7020000
17/11/23,152.82,152.20,152.86,151.54,7810000
16/11/23,151.45,150.09,151.52,150.09,8130000
15/11/23,149.74,148.46,150.16,148.46,8370000
14/11/23,148.44,146.68,149.25,146.52,9930000
13/11/23,145.78,145.70,146.25,145.16,6680000
10/11/23,146.43,144.94,146.48,144.08,7980000
09/11/23,144.29,145.44,145.65,143.70,7990000
08/11/23,144.72,144.11,144.84,143.62,7620000
07/11/23,144.01,143.51,144.26,142.82,6300000
06/11/23,144.08,143.17,144.19,142.79,7630000
03/11/23,143.00,142.19,143.77,141.85,9540000
02/11/23,141.42,140.09,141.48,139.23,10190000
01/11/23,138.94,139.25,140.53,138.47,9430000
31/10/23,139.06,137.71,139.24,137.47,9670000
