Date,Close,Open,High,Low,Volume
29/12/23,49.22,49.35,49.58,49.21,11730000
28/12/23,49.48,49.14,49.65,49.09,9870000
27/12/23,49.33,49.41,49.56,49.15,12540000
26/12/23,49.64,49.16,49.67,49.03,8860000
22/12/23,49.18,49.66,49.86,49.09,10450000
21/12/23,49.45,49.62,49.83,49.13,11130000
20/12/23,49.34,49.83,50.57,49.29,20480000
19/12/23,50.09,49.67,50.32,49.31,20560000
18/12/23,49.66,50.41,50.48,49.53,20530000
15/12/23,50.31,50.10,50.77,49.92,44100000
14/12/23,50.51,48.44,50.55,48.44,41120000
13/12/23,47.76,46.49,47.78,46.35,26550000
12/12/23,46.47,45.94,46.76,45.81,19790000
11/12/23,46.00,45.90,46.22,45.57,21120000
08/12/23,46.10,45.36,46.33,45.12,20240000
07/12/23,45.40,44.79,45.44,44.65,18790000
06/12/23,44.50,44.80,45.25,44.43,18920000
05/12/23,44.49,44.95,44.97,44.41,14530000
04/12/23,45.12,44.71,45.33,44.52,13420000
01/12/23,45.02,44.51,45.24,44.38,18120000
30/11/23,44.59,43.81,44.75,43.48,23250000
29/11/23,43.78,43.69,44.13,43.63,16750000
28/11/23,43.37,42.97,43.45,42.79,15330000
27/11/23,43.02,42.64,43.03,42.52,15710000
24/11/23,42.92,42.80,43.11,42.73,5290000
22/11/23,42.78,42.66,42.83,42.40,11860000
21/11/23,42.60,42.64,42.72,42.15,16080000
20/11/23,42.79,42.86,42.95,42.51,10370000
17/11/23,42.96,42.83,42.99,42.44,13890000
16/11/23,42.53,42.82,42.96,41.99,16930000
15/11/23,42.84,42.07,43.03,42.07,17270000
14/11/23,42.08,41.50,42.38,41.46,20180000
13/11/23,40.77,40.74,41.06,40.53,12160000
10/11/23,40.89,40.63,40.95,40.36,14710000
09/11/23,40.40,41.29,41.38,40.27,14010000
08/11/23,40.98,41.07,41.19,40.43,19420000
07/11/23,41.04,41.18,41.20,40.74,13800000
06/11/23,41.34,41.79,41.79,41.15,15150000
03/11/23,41.62,41.17,41.86,41.07,16150000
02/11/23,40.51,39.74,40.54,39.39,20000000
01/11/23,39.61,39.96,39.98,39.28,19850000
31/10/23,39.77,39.64,39.81,39.24,11920000
30/10/23,39.43,39.10,39.59,38.69,14140000
27/10/23,38.76,39.38,39.41,38.62,13580000
26/10/23,39.65,39.02,39.97,38.98,15480000
25/10/23,39.03,39.07,39.21,38.58,13850000
24/10/23,39.28,39.62,39.83,39.24,15100000
23/10/23,39.48,40.26,40.38,39.42,13790000
20/10/23,40.27,41.05,41.09,39.94,17500000
19/10/23,41.18,41.48,42.22,41.16,16120000
18/10/23,41.53,41.70,41.94,41.35,16050000
17/10/23,41.98,41.42,42.37,41.42,16980000
16/10/23,41.65,41.47,42.17,41.40,18420000
13/10/23,40.96,40.83,41.64,40.47,28090000
12/10/23,39.74,39.69,40.01,39.32,14880000
11/10/23,39.69,40.01,40.21,39.25,14840000
10/10/23,39.82,39.92,40.38,39.72,14430000
09/10/23,39.70,39.11,39.80,39.10,12100000
06/10/23,39.69,38.89,39.89,38.76,13980000
05/10/23,39.30,38.76,39.42,38.60,11820000
04/10/23,38.97,38.51,39.11,38.38,14340000
03/10/23,38.67,39.38,39.47,38.47,19250000
02/10/23,39.61,40.69,40.76,39.44,15100000
29/09/23,40.86,41.20,41.39,40.58,13120000
28/09/23,40.91,40.83,41.20,40.72,12450000
27/09/23,40.86,40.63,41.20,40.46,11820000
26/09/23,40.65,41.05,41.31,40.36,15220000
25/09/23,41.56,40.88,41.62,40.77,10620000
22/09/23,41.23,42.33,42.39,41.15,16780000
21/09/23,42.32,42.75,43.17,42.29,14990000
20/09/23,42.87,43.40,43.72,42.82,16790000
19/09/23,43.22,43.55,43.74,42.90,15320000
18/09/23,43.43,42.99,43.60,42.77,15850000
15/09/23,42.95,42.67,43.31,42.61,47370000
14/09/23,43.05,42.81,43.39,42.70,20760000
13/09/23,42.25,42.71,42.88,42.12,15270000
12/09/23,42.54,41.41,42.97,41.27,18390000
11/09/23,41.33,41.38,41.72,41.21,15050000
08/09/23,41.00,40.45,41.12,40.33,13920000
07/09/23,40.43,40.73,41.02,40.30,13800000
06/09/23,41.02,41.21,41.40,40.60,18780000
05/09/23,41.54,41.65,42.28,41.31,14340000
01/09/23,41.65,41.55,41.99,41.51,12890000
31/08/23,41.29,41.68,41.71,41.11,21530000
30/08/23,41.54,42.06,42.13,41.47,12540000
29/08/23,42.00,41.87,42.37,41.65,14400000
28/08/23,41.88,41.41,42.07,41.29,10310000
25/08/23,41.23,41.64,41.80,40.76,12530000
24/08/23,41.43,41.45,42.18,41.38,10360000
23/08/23,41.61,41.56,41.64,41.22,11930000
22/08/23,41.50,42.46,42.57,41.43,13630000
21/08/23,42.49,42.65,42.87,42.12,12600000
18/08/23,42.50,42.10,42.79,42.05,10800000
17/08/23,42.47,42.47,42.74,42.26,12690000
16/08/23,42.22,42.66,42.73,42.13,10080000
15/08/23,42.73,43.13,43.26,42.52,13840000
14/08/23,43.74,43.53,43.91,43.27,10680000
11/08/23,43.73,43.51,43.85,43.38,7320000
10/08/23,43.67,44.00,44.39,43.62,11980000
09/08/23,43.72,44.22,44.25,43.57,11970000
08/08/23,44.48,43.98,44.54,43.38,14520000
07/08/23,45.06,45.18,45.46,44.92,10860000
04/08/23,44.85,45.10,45.70,44.71,10840000
