Date,Close,Open,High,Low
29/12/23,4769.83,4782.88,4788.43,4751.99
28/12/23,4783.35,4786.44,4793.30,4780.98
27/12/23,4781.58,4773.45,4785.39,4768.90
26/12/23,4774.75,4758.86,4784.72,4758.45
22/12/23,4754.63,4753.92,4772.94,4736.77
21/12/23,4746.75,4724.29,4748.71,4708.35
20/12/23,4698.35,4764.73,4778.01,4697.82
19/12/23,4768.37,4743.72,4768.69,4743.72
18/12/23,4740.56,4725.58,4749.52,4725.58
15/12/23,4719.19,4714.23,4725.53,4704.69
14/12/23,4719.55,4721.04,4738.57,4694.34
13/12/23,4707.09,4646.20,4709.69,4643.23
12/12/23,4643.70,4618.30,4643.93,4608.09
11/12/23,4622.44,4593.39,4623.71,4593.39
08/12/23,4604.37,4576.20,4609.23,4574.06
07/12/23,4585.59,4568.84,4590.92,4565.22
06/12/23,4549.34,4586.23,4590.74,4546.50
05/12/23,4567.18,4557.25,4578.56,4551.68
04/12/23,4569.78,4564.37,4572.37,4546.72
01/12/23,4594.63,4559.43,4599.39,4554.71
30/11/23,4567.80,4554.87,4569.89,4537.24
29/11/23,4550.58,4571.84,4587.64,4547.15
28/11/23,4554.89,4545.55,4568.14,4540.51
27/11/23,4550.43,4554.86,4560.52,4546.32
24/11/23,4559.34,4555.84,4560.31,4552.80
22/11/23,4556.62,4553.04,4568.43,4545.05
21/11/23,4538.19,4538.77,4542.14,4525.51
20/11/23,4547.38,4511.70,4557.11,4510.36
17/11/23,4514.02,4509.55,4520.12,4499.66
16/11/23,4508.24,4497.08,4511.99,4487.83
15/11/23,4502.88,4505.30,4521.17,4495.31
14/11/23,4495.70,4458.97,4508.67,4458.97
13/11/23,4411.55,4406.66,4421.76,4393.82
10/11/23,4415.24,4364.15,4418.03,4353.34
09/11/23,4347.35,4391.41,4393.40,4343.94
08/11/23,4382.78,4384.37,4391.20,4359.76
07/11/23,4378.38,4366.21,4386.26,4355.41
06/11/23,4365.98,4364.27,4372.21,4347.53
03/11/23,4358.34,4334.23,4373.62,4334.23
02/11/23,4317.78,4268.26,4319.72,4268.26
01/11/23,4237.86,4201.27,4245.64,4197.74
31/10/23,4193.80,4171.33,4195.55,4153.12
30/10/23,4166.82,4139.39,4177.47,4132.94
27/10/23,4117.37,4152.93,4156.70,4103.78
26/10/23,4137.23,4175.99,4183.60,4127.90
25/10/23,4186.77,4232.42,4232.42,4181.42
24/10/23,4247.68,4235.79,4259.38,4219.43
23/10/23,4217.04,4210.40,4255.84,4189.22
20/10/23,4224.16,4273.85,4276.56,4223.03
19/10/23,4278.00,4321.36,4339.54,4269.69
18/10/23,4314.60,4357.35,4364.20,4303.84
17/10/23,4373.20,4345.23,4393.57,4337.54
16/10/23,4373.63,4342.37,4383.33,4342.37
13/10/23,4327.78,4360.49,4377.10,4311.97
12/10/23,4349.61,4380.94,4385.85,4325.43
11/10/23,4376.95,4366.59,4378.64,4345.34
10/10/23,4358.24,4339.75,4385.46,4339.64
09/10/23,4335.66,4289.02,4341.73,4283.79
06/10/23,4308.50,4234.79,4324.10,4219.55
05/10/23,4258.19,4259.31,4267.13,4225.91
04/10/23,4263.75,4233.83,4268.50,4220.48
03/10/23,4229.45,4269.75,4281.15,4216.45
02/10/23,4288.39,4284.52,4300.58,4260.21
29/09/23,4288.05,4328.18,4333.15,4274.86
28/09/23,4299.70,4269.65,4317.27,4264.38
27/09/23,4274.51,4282.63,4292.07,4238.63
26/09/23,4273.53,4312.88,4313.01,4265.98
25/09/23,4337.44,4310.62,4338.51,4302.70
22/09/23,4320.06,4341.74,4357.40,4316.49
21/09/23,4330.00,4374.36,4375.70,4329.17
20/09/23,4402.20,4452.81,4461.03,4401.38
19/09/23,4443.95,4445.41,4449.85,4416.61
18/09/23,4453.53,4445.13,4466.36,4442.11
15/09/23,4450.32,4497.98,4497.98,4447.21
14/09/23,4505.10,4487.78,4511.99,4478.69
13/09/23,4467.44,4462.65,4479.39,4453.52
12/09/23,4461.90,4473.27,4487.11,4456.83
11/09/23,4487.46,4480.98,4490.77,4467.89
08/09/23,4457.49,4451.30,4473.53,4448.38
07/09/23,4451.14,4434.55,4457.81,4430.46
06/09/23,4465.48,4490.35,4490.35,4442.38
05/09/23,4496.83,4510.06,4514.29,4496.01
01/09/23,4515.77,4530.60,4541.25,4501.35
31/08/23,4507.66,4517.01,4532.26,4507.39
30/08/23,4514.87,4500.34,4521.65,4493.59
29/08/23,4497.63,4432.75,4500.14,4431.68
28/08/23,4433.31,4426.03,4439.56,4414.98
25/08/23,4405.71,4389.38,4418.46,4356.29
24/08/23,4376.31,4455.16,4458.30,4375.55
23/08/23,4436.01,4396.44,4443.18,4396.44
22/08/23,4387.55,4415.33,4418.59,4382.77
21/08/23,4399.77,4380.28,4407.55,4360.30
18/08/23,4369.71,4344.88,4381.82,4335.31
17/08/23,4370.36,4416.32,4421.17,4364.83
16/08/23,4404.33,4433.79,4449.95,4403.55
15/08/23,4437.86,4478.87,4478.87,4432.19
14/08/23,4489.72,4458.13,4490.33,4453.44
11/08/23,4464.05,4450.69,4476.23,4443.98
10/08/23,4468.83,4487.16,4527.37,4457.92
09/08/23,4467.71,4501.57,4502.44,4461.33
08/08/23,4499.38,4498.03,4503.31,4464.39
07/08/23,4518.44,4491.58,4519.84,4491.15
04/08/23,4478.03,4513.96,4540.34,4474.55
03/08/23,4501.89,4494.27,4519.49,4485.54
02/08/23,4513.39,4550.93,4550.93,4505.75
01/08/23,4576.73,4578.83,4584.62,4567.53
31/07/23,4588.96,4584.82,4594.22,4573.14
28/07/23,4582.23,4565.75,4590.16,4564.01
27/07/23,4537.41,4598.26,4607.07,4528.56
26/07/23,4566.75,4558.96,4582.47,4547.58
25/07/23,4567.46,4555.19,4580.62,4552.42
24/07/23,4554.64,4543.39,4563.41,4541.29
21/07/23,4536.34,4550.16,4555.00,4535.79
20/07/23,4534.87,4554.38,4564.74,4527.56
19/07/23,4565.72,4563.87,4578.43,4557.48
18/07/23,4554.98,4521.78,4562.30,4514.59
17/07/23,4522.79,4508.86,4532.85,4504.90
14/07/23,4505.42,4514.61,4527.76,4499.56
13/07/23,4510.04,4491.50,4517.38,4489.36
12/07/23,4472.16,4467.69,4488.34,4463.23
11/07/23,4439.26,4415.55,4443.64,4408.46
10/07/23,4409.53,4394.23,4412.60,4389.92
07/07/23,4398.95,4404.54,4440.39,4397.40
06/07/23,4411.59,4422.62,4422.62,4385.05
05/07/23,4446.82,4442.04,4454.06,4436.61
03/07/23,4455.59,4450.48,4456.46,4442.29
30/06/23,4450.38,4422.44,4458.48,4422.44
29/06/23,4396.44,4374.94,4398.39,4371.97
28/06/23,4376.86,4367.48,4390.35,4360.22
27/06/23,4378.41,4337.36,4384.42,4335.00
26/06/23,4328.82,4344.84,4362.06,4328.08
23/06/23,4348.33,4354.17,4366.55,4341.34
22/06/23,4381.89,4355.40,4382.25,4351.82
21/06/23,4365.69,4380.01,4386.22,4360.14
20/06/23,4388.71,4396.11,4400.15,4367.19
16/06/23,4409.59,4440.95,4448.47,4407.44
15/06/23,4425.84,4365.33,4439.20,4362.60
14/06/23,4372.59,4366.29,4391.82,4337.85
13/06/23,4369.01,4352.61,4375.37,4349.31
12/06/23,4338.93,4308.32,4340.13,4304.37
09/06/23,4298.86,4304.88,4322.62,4291.70
08/06/23,4293.93,4268.69,4298.01,4261.07
07/06/23,4267.52,4285.47,4299.19,4263.96
06/06/23,4283.85,4271.34,4288.33,4263.09
05/06/23,4273.79,4282.99,4299.28,4266.82
02/06/23,4282.37,4241.01,4290.67,4241.01
01/06/23,4221.02,4183.03,4232.43,4171.64
31/05/23,4179.83,4190.74,4195.44,4166.15
30/05/23,4205.52,4226.71,4231.10,4192.18
26/05/23,4205.45,4156.16,4212.87,4156.16
25/05/23,4151.28,4155.71,4165.74,4129.73
24/05/23,4115.24,4132.96,4132.96,4103.98
23/05/23,4145.58,4176.80,4185.68,4142.54
22/05/23,4192.63,4190.78,4209.22,4179.68
19/05/23,4191.98,4204.15,4212.91,4180.20
18/05/23,4198.05,4157.68,4202.20,4153.50
17/05/23,4158.77,4122.85,4164.67,4113.62
16/05/23,4109.90,4127.95,4135.54,4109.86
